customer_id,product_id,sale_date,quantity,sales_amount
1,101,2024-01-05,2,2400.00
2,102,2024-01-06,5,125.00
3,103,2024-01-07,1,180.00
4,104,2024-01-08,1,350.00
5,105,2024-01-09,10,50.00
1,101,2024-01-05,2,2400.00
6,106,2024-01-10,20,40.00
7,107,2024-01-11,3,600.00
8,108,2024-01-12,1,220.00
9,101,2024-01-13,1,1200.00
10,102,2024-01-14,4,100.00
2,103,2024-01-15,,90.00
3,104,2024-01-16,2,-150.00
4,105,2024-01-17,5,25.00
5,106,2024-01-18,15,30.00
6,107,2024-01-19,2,400.00
7,108,,1,220.00
8,101,2024-01-21,1,1200.00
,102,2024-01-22,3,75.00
10,103,2024-01-23,1,180.00
1,999,2024-01-24,1,99.00
2,104,2024-02-01,2,700.00
3,105,2024-02-02,8,40.00
4,106,2024-02-03,12,24.00
5,107,2024-02-04,1,200.00
6,108,2024-02-05,2,440.00
7,101,2024-02-06,1,1200.00
8,102,2024-02-07,five,125.00
9,103,2024-02-08,1,180.00
10,104,2024-02-09,1,350.00
1,105,2024-02-10,6,30.00
2,106,not-a-date,10,20.00
3,107,2024-02-12,2,400.00
4,108,2024-02-13,1,220.00
5,101,2024-02-14,1,1200.00
6,102,2024-02-15,,150.00
7,103,2024-02-16,1,180.00
8,104,2024-02-16,1,180.00
999,105,2024-02-17,3,60.00
10,106,2024-02-18,25,50.00
